N,L,K_c,Target_Kc,Alpha,Min_Rho,Sign_Flips,Oscillation,Runtime
4,2,1.1107207303071145,6.283185307179586,0.17677669462301723,-0.8143475040899276,0,0,0.005900859832763672
9,3,1.1107207303071145,4.1887902047863905,0.2651650419345259,-0.5428983360599516,0,0,0.009561777114868164
16,4,0.5553603675497238,3.141592653589793,0.17677669538574076,-0.6107606280674457,2,1,0.01353597640991211
25,5,0.5553603675497238,2.5132741228718345,0.22097086923217596,-0.651478003271942,2,1,0.018030881881713867
36,6,0.37024024024081587,2.0943951023931953,0.17677669309757013,-0.6786229200749396,3,1,0.01866316795349121
64,8,0.27768018617102846,1.5707963267948966,0.17677669691118775,-0.7125540660786864,4,1,0.028769254684448242
100,10,0.2221441460614228,1.2566370614359172,0.17677669462301715,-0.7329127536809347,6,1,0.04291677474975586
256,16,0.1388400906893476,0.7853981633974483,0.17677669386029365,-0.7634507850843069,10,1,0.13057708740234375
1024,32,0.06942004774084043,0.39269908169872414,0.17677669996208187,-0.7888991445871171,21,1,2.173346757888794
4096,64,0.03471002147425359,0.19634954084936207,0.17677668775850544,-0.8016233243385222,42,1,88.86091804504395
16384,128,0.017355008340960168,0.09817477042468103,0.17677666335135261,-0.8079854142142248,85,1,4113.304728746414
