N,L,K_c,Target_Kc,Alpha,Min_Rho,Sign_Flips,Oscillation
4,2,0.7853981621900397,6.283185307179586,0.12499999980783495,-0.8143475040899276,1,1
9,3,0.7853981621900397,4.1887902047863905,0.18749999971175244,-0.6786229200749396,1,1
16,4,0.3926990786988532,3.141592653589793,0.12499999904511142,-0.7125540660786867,3,1
25,5,0.3926990786988532,2.5132741228718345,0.15624999880638926,-0.7329127536809347,3,1
36,6,0.2617993905915687,2.0943951023931953,0.125000001333282,-0.7464852120824337,5,1
64,8,0.19634953695325996,1.5707963267948966,0.12499999751966437,-0.7634507850843069,7,1
100,10,0.1570796343549412,1.2566370614359172,0.12500000133328198,-0.7736301288854309,9,1
256,16,0.09817476608046335,0.7853981633974483,0.12499999446877026,-0.7888991445871171,14,1
1024,32,0.049087385436398304,0.39269908169872414,0.12500000057055846,-0.8016233243385222,30,1
